,name,crosses,numberOfStrands
15,0_1,"[X(1,4,12,3), X(2,7,3,8), X(4,10,5,9), X(6,1,7,2), X(10,6,11,5), X(11,8,12,9)]",12
16,0_1,"[X(2,10,3,9), X(6,15,7,16), X(7,5,8,4), X(8,14,9,13), X(11,1,12,18), X(12,4,13,3), X(14,5,15,6), X(16,1,17,2), X(17,11,18,10)]",18
17,0_1,"[X(1,15,30,16), X(4,7,5,8), X(6,10,7,9), X(10,6,11,5), X(11,9,12,8), X(12,3,13,4), X(14,2,15,1), X(16,13,17,14), X(17,22,18,23), X(19,27,20,26), X(23,18,24,19), X(24,28,25,27), X(25,21,26,20), X(28,22,29,21), X(29,3,30,2)]",30
18,0_1,"[X(8,4,9,3), X(11,54,12,1), X(14,52,15,51), X(17,23,18,22), X(18,16,19,15), X(19,6,20,7), X(20,25,21,26), X(21,5,22,4), X(23,17,24,16), X(24,5,25,6), X(26,8,27,7), X(27,50,28,51), X(28,43,29,44), X(30,40,31,39), X(33,3,34,2), X(34,9,35,10), X(36,14,37,13), X(40,30,41,29), X(41,39,42,38), X(42,31,43,32), X(44,38,45,37), X(45,12,46,13), X(47,11,48,10), X(48,1,49,2), X(49,32,50,33), X(52,36,53,35), X(53,46,54,47)]",54
19,0_1,"[X(1,4,30,3), X(1,22,2,23), X(6,20,7,19), X(7,29,8,28), X(9,18,10,19), X(11,17,12,16), X(12,29,13,30), X(13,20,14,21), X(14,6,15,5), X(15,25,16,24), X(21,2,22,3), X(23,5,24,4), X(25,10,26,11), X(26,18,27,17), X(27,9,28,8)]",30
20,0_1,"[X(1,11,2,10), X(2,14,3,13), X(3,7,4,6), X(4,15,5,16), X(11,1,12,18), X(12,10,13,9), X(14,8,15,7), X(16,5,17,6), X(17,8,18,9)]",18
21,0_1,"[X(1,4,2,5), X(1,9,30,10), X(3,21,4,20), X(6,20,7,19), X(8,17,9,18), X(12,25,13,26), X(14,11,15,12), X(16,30,17,29), X(21,3,22,2), X(22,6,23,5), X(23,19,24,18), X(24,7,25,8), X(26,13,27,14), X(27,10,28,11), X(28,16,29,15)]",30
22,0_1,"[X(1,7,22,8), X(5,14,6,15), X(6,22,7,21), X(8,2,9,1), X(9,20,10,21), X(11,2,12,3), X(13,17,14,16), X(15,4,16,5), X(17,13,18,12), X(18,4,19,3), X(19,10,20,11)]",22
23,0_1,"[X(2,8,3,7), X(3,1,4,12), X(4,9,5,10), X(6,11,7,12), X(8,2,9,1), X(10,5,11,6)]",12
24,0_1,"[X(1,8,2,9), X(3,11,4,10), X(5,1,6,12), X(6,9,7,10), X(7,2,8,3), X(11,5,12,4)]",12
25,0_1,"[X(1,8,20,7), X(1,17,2,16), X(2,14,3,13), X(4,11,5,12), X(8,19,9,20), X(9,6,10,7), X(10,18,11,17), X(14,4,15,3), X(15,12,16,13), X(18,6,19,5)]",20
26,0_1,"[X(3,18,4,19), X(4,1,5,2), X(5,11,6,10), X(7,17,8,16), X(9,14,10,15), X(11,7,12,6), X(12,16,13,15), X(13,8,14,9), X(17,1,18,20), X(19,2,20,3)]",20
27,0_1,"[X(1,12,22,11), X(1,14,2,15), X(3,16,4,17), X(4,20,5,19), X(5,9,6,8), X(7,19,8,18), X(9,13,10,12), X(10,21,11,22), X(13,20,14,21), X(15,2,16,3), X(17,7,18,6)]",22
28,0_1,"[X(1,15,2,14), X(2,6,3,5), X(4,14,5,13), X(6,11,7,12), X(7,16,8,17), X(9,18,10,1), X(12,4,13,3), X(15,10,16,11), X(17,8,18,9)]",18
29,0_1,"[X(1,16,20,15), X(3,14,4,15), X(4,2,5,1), X(5,13,6,12), X(6,20,7,19), X(10,17,11,18), X(11,9,12,8), X(13,2,14,3), X(16,9,17,10), X(18,8,19,7)]",20
30,0_1,"[X(1,18,22,17), X(2,20,3,19), X(3,10,4,11), X(4,16,5,15), X(5,13,6,12), X(7,18,8,19), X(8,1,9,2), X(9,21,10,20), X(11,15,12,14), X(13,7,14,6), X(16,21,17,22)]",22
31,0_1,"[X(1,15,2,14), X(3,10,4,11), X(7,1,8,16), X(8,5,9,6), X(11,4,12,5), X(12,10,13,9), X(13,3,14,2), X(15,7,16,6)]",16
32,0_1,"[X(1,14,24,13), X(1,22,2,23), X(2,16,3,15), X(3,11,4,10), X(4,19,5,20), X(5,8,6,9), X(7,18,8,19), X(9,21,10,20), X(12,22,13,21), X(14,23,15,24), X(16,12,17,11), X(17,6,18,7)]",24
33,0_1,"[X(1,20,2,21), X(4,13,5,14), X(5,23,6,22), X(6,12,7,11), X(7,30,8,1), X(9,3,10,2), X(10,22,11,21), X(12,23,13,24), X(14,3,15,4), X(15,25,16,24), X(17,28,18,29), X(19,9,20,8), X(25,17,26,16), X(26,29,27,30), X(27,18,28,19)]",30
34,0_1,"[X(4,11,5,12), X(7,17,8,16), X(8,2,9,1), X(9,14,10,15), X(10,3,11,4), X(12,5,13,6), X(13,3,14,2), X(15,18,16,1), X(17,7,18,6)]",18
35,0_1,"[X(1,24,2,25), X(6,15,7,16), X(7,4,8,5), X(8,18,9,17), X(9,22,10,23), X(10,26,11,25), X(11,21,12,20), X(13,28,14,1), X(14,4,15,3), X(16,5,17,6), X(18,28,19,27), X(19,13,20,12), X(21,26,22,27), X(23,2,24,3)]",28
36,0_1,"[X(1,26,2,27), X(3,30,4,31), X(4,16,5,15), X(6,13,7,14), X(10,22,11,21), X(11,8,12,9), X(12,19,13,20), X(16,6,17,5), X(17,14,18,15), X(18,7,19,8), X(20,10,21,9), X(22,26,23,25), X(23,33,24,32), X(27,34,28,1), X(29,2,30,3), X(31,25,32,24), X(33,28,34,29)]",34
37,0_1,"[X(2,24,3,23), X(8,3,9,4), X(9,24,10,25), X(10,17,11,18), X(11,1,12,26), X(12,6,13,5), X(13,21,14,20), X(14,7,15,8), X(16,1,17,2), X(18,26,19,25), X(19,5,20,4), X(21,6,22,7), X(22,16,23,15)]",26
38,0_1,"[X(1,15,2,14), X(2,25,3,26), X(3,12,4,13), X(4,10,5,9), X(5,31,6,30), X(6,27,7,28), X(8,29,9,30), X(10,32,11,31), X(13,27,14,26), X(15,23,16,22), X(17,20,18,21), X(19,34,20,1), X(23,17,24,16), X(24,21,25,22), X(28,7,29,8), X(32,12,33,11), X(33,18,34,19)]",34
39,0_1,"[X(1,11,22,12), X(5,16,6,17), X(6,3,7,4), X(8,15,9,16), X(9,21,10,20), X(10,14,11,13), X(12,2,13,1), X(17,4,18,5), X(18,7,19,8), X(19,3,20,2), X(21,15,22,14)]",22
40,0_1,"[X(1,11,14,12), X(2,9,3,10), X(5,13,6,12), X(6,2,7,1), X(7,10,8,11), X(8,3,9,4), X(13,5,14,4)]",14
41,0_1,"[X(4,16,5,15), X(7,3,8,2), X(9,18,10,1), X(11,9,12,8), X(12,1,13,2), X(13,6,14,7), X(14,4,15,3), X(16,6,17,5), X(17,10,18,11)]",18
42,0_1,"[X(2,8,3,7), X(3,1,4,14), X(4,9,5,10), X(5,12,6,13), X(8,2,9,1), X(10,13,11,14), X(11,6,12,7)]",14
43,0_1,"[X(1,17,2,16), X(3,8,4,9), X(5,19,6,18), X(7,24,8,25), X(9,4,10,5), X(11,21,12,20), X(13,7,14,6), X(14,25,15,26), X(15,3,16,2), X(17,1,18,26), X(21,13,22,12), X(22,19,23,20), X(23,10,24,11)]",26
44,0_1,"[X(1,13,2,12), X(1,16,28,15), X(2,26,3,25), X(3,16,4,17), X(4,8,5,7), X(5,19,6,18), X(9,21,10,20), X(11,24,12,25), X(14,27,15,28), X(17,7,18,6), X(21,9,22,8), X(22,20,23,19), X(23,10,24,11), X(26,13,27,14)]",28
45,0_1,"[X(1,11,34,12), X(5,20,6,21), X(8,31,9,32), X(9,15,10,14), X(10,34,11,33), X(12,2,13,1), X(15,3,16,2), X(16,27,17,28), X(17,4,18,5), X(18,26,19,25), X(22,7,23,8), X(24,20,25,19), X(26,4,27,3), X(28,21,29,22), X(29,6,30,7), X(30,24,31,23), X(32,14,33,13)]",34
46,0_1,"[X(1,8,14,7), X(1,10,2,11), X(3,7,4,6), X(4,14,5,13), X(8,11,9,12), X(9,2,10,3), X(12,6,13,5)]",14
47,0_1,"[X(1,11,20,12), X(1,18,2,19), X(2,14,3,13), X(3,6,4,7), X(4,15,5,16), X(8,18,9,17), X(9,12,10,13), X(10,20,11,19), X(14,5,15,6), X(16,8,17,7)]",20
48,0_1,"[X(1,12,2,13), X(4,10,5,9), X(5,15,6,14), X(6,11,7,12), X(8,4,9,3), X(13,18,14,1), X(15,10,16,11), X(16,8,17,7), X(17,3,18,2)]",18
49,0_1,"[X(3,17,4,16), X(5,18,6,19), X(8,24,9,23), X(9,1,10,38), X(10,21,11,22), X(13,6,14,7), X(14,2,15,1), X(15,32,16,33), X(22,37,23,38), X(24,8,25,7), X(25,37,26,36), X(26,11,27,12), X(27,21,28,20), X(29,4,30,5), X(30,17,31,18), X(31,3,32,2), X(33,29,34,28), X(34,19,35,20), X(35,13,36,12)]",38
50,0_1,"[X(1,10,2,11), X(3,12,4,13), X(5,15,6,14), X(7,1,8,16), X(8,13,9,14), X(9,4,10,5), X(11,2,12,3), X(15,7,16,6)]",16
51,0_1,"[X(1,9,22,10), X(3,14,4,15), X(4,17,5,18), X(6,20,7,19), X(8,22,9,21), X(10,8,11,7), X(11,18,12,19), X(12,5,13,6), X(13,17,14,16), X(15,2,16,3), X(20,2,21,1)]",22
52,0_1,"[X(1,4,18,3), X(2,14,3,13), X(5,10,6,11), X(8,18,9,17), X(9,6,10,7), X(11,4,12,5), X(14,2,15,1), X(15,13,16,12), X(16,8,17,7)]",18
53,0_1,"[X(1,6,24,5), X(1,21,2,20), X(3,22,4,23), X(7,17,8,16), X(9,7,10,6), X(10,23,11,24), X(11,4,12,5), X(12,22,13,21), X(13,3,14,2), X(14,19,15,20), X(17,9,18,8), X(18,15,19,16)]",24
54,0_1,"[X(2,17,3,18), X(3,7,4,6), X(5,1,6,28), X(7,17,8,16), X(8,19,9,20), X(9,14,10,15), X(10,26,11,25), X(12,23,13,24), X(15,21,16,20), X(18,1,19,2), X(21,25,22,24), X(22,11,23,12), X(26,14,27,13), X(27,5,28,4)]",28
55,0_1,"[X(1,16,2,17), X(3,15,4,14), X(6,20,7,19), X(8,15,9,16), X(9,3,10,2), X(10,21,11,22), X(11,19,12,18), X(12,7,13,8), X(13,5,14,4), X(17,22,18,1), X(20,6,21,5)]",22
56,0_1,"[X(6,15,7,16), X(7,5,8,4), X(8,18,9,17), X(9,22,10,23), X(11,1,12,24), X(13,2,14,3), X(14,5,15,6), X(16,4,17,3), X(18,2,19,1), X(19,13,20,12), X(20,23,21,24), X(21,10,22,11)]",24
57,0_1,"[X(1,40,2,41), X(2,28,3,27), X(3,39,4,38), X(4,29,5,30), X(13,33,14,32), X(15,25,16,24), X(16,7,17,8), X(18,10,19,9), X(19,35,20,34), X(20,11,21,12), X(21,36,22,37), X(22,18,23,17), X(23,9,24,8), X(25,1,26,42), X(30,5,31,6), X(31,15,32,14), X(33,13,34,12), X(35,10,36,11), X(37,7,38,6), X(39,28,40,29), X(41,27,42,26)]",42
58,0_1,"[X(1,4,2,5), X(1,12,16,11), X(2,10,3,9), X(6,15,7,16), X(8,13,9,14), X(10,4,11,3), X(12,5,13,6), X(14,7,15,8)]",16
59,0_1,"[X(1,9,2,8), X(2,6,3,5), X(3,13,4,12), X(7,10,8,11), X(9,1,10,14), X(11,5,12,4), X(13,6,14,7)]",14
60,0_1,"[X(1,15,2,14), X(2,24,3,23), X(4,9,5,10), X(6,12,7,11), X(7,22,8,23), X(13,9,14,8), X(16,28,17,27), X(18,4,19,3), X(19,10,20,11), X(20,5,21,6), X(21,13,22,12), X(24,15,25,16), X(25,1,26,28), X(26,18,27,17)]",28
61,0_1,"[X(1,8,20,7), X(2,15,3,16), X(3,10,4,11), X(4,18,5,17), X(5,13,6,12), X(6,1,7,2), X(8,13,9,14), X(16,11,17,12), X(18,10,19,9), X(19,15,20,14)]",20
62,0_1,"[X(1,9,2,8), X(3,12,4,13), X(5,3,6,2), X(7,1,8,16), X(10,13,11,14), X(11,4,12,5), X(14,9,15,10), X(15,7,16,6)]",16
63,0_1,"[X(2,19,3,20), X(3,13,4,12), X(5,27,6,26), X(8,23,9,24), X(10,29,11,30), X(13,7,14,6), X(14,32,15,31), X(15,24,16,25), X(16,9,17,10), X(17,21,18,20), X(18,1,19,2), X(21,34,22,1), X(27,5,28,4), X(28,11,29,12), X(30,26,31,25), X(32,7,33,8), X(33,22,34,23)]",34
64,0_1,"[X(1,8,22,7), X(5,19,6,18), X(8,21,9,22), X(9,2,10,3), X(10,15,11,16), X(11,5,12,4), X(12,18,13,17), X(13,6,14,7), X(16,4,17,3), X(19,15,20,14), X(20,2,21,1)]",22
65,0_1,"[X(1,7,16,8), X(2,10,3,9), X(4,11,5,12), X(6,2,7,1), X(8,16,9,15), X(12,5,13,6), X(13,11,14,10), X(14,4,15,3)]",16
66,0_1,"[X(1,24,32,23), X(2,18,3,17), X(4,19,5,20), X(7,27,8,26), X(9,28,10,29), X(10,1,11,2), X(11,23,12,22), X(12,32,13,31), X(13,24,14,25), X(14,28,15,27), X(15,9,16,8), X(20,3,21,4), X(21,18,22,19), X(25,7,26,6), X(29,17,30,16), X(30,5,31,6)]",32
67,0_1,"[X(1,15,2,14), X(3,7,4,6), X(5,10,6,11), X(9,1,10,16), X(11,4,12,5), X(12,7,13,8), X(13,3,14,2), X(15,9,16,8)]",16
68,0_1,"[X(1,22,28,21), X(4,14,5,13), X(6,10,7,9), X(7,22,8,23), X(11,15,12,14), X(12,6,13,5), X(15,11,16,10), X(16,27,17,28), X(17,3,18,2), X(18,26,19,25), X(20,1,21,2), X(23,8,24,9), X(24,20,25,19), X(26,3,27,4)]",28
69,0_1,"[X(2,19,3,20), X(5,23,6,22), X(7,12,8,13), X(8,18,9,17), X(9,20,10,21), X(10,3,11,4), X(11,1,12,24), X(13,6,14,7), X(15,5,16,4), X(16,22,17,21), X(18,1,19,2), X(23,15,24,14)]",24
70,0_1,"[X(1,30,36,29), X(2,10,3,9), X(4,32,5,31), X(6,17,7,18), X(10,14,11,13), X(11,24,12,25), X(16,20,17,19), X(18,5,19,6), X(21,35,22,34), X(22,16,23,15), X(23,32,24,33), X(25,12,26,13), X(26,4,27,3), X(27,8,28,9), X(28,1,29,2), X(30,8,31,7), X(33,14,34,15), X(35,21,36,20)]",36
71,0_1,"[X(1,16,22,15), X(3,14,4,15), X(4,19,5,20), X(6,12,7,11), X(8,5,9,6), X(9,13,10,12), X(10,8,11,7), X(13,19,14,18), X(16,21,17,22), X(17,2,18,3), X(20,2,21,1)]",22
72,0_1,"[X(1,21,2,20), X(2,11,3,12), X(6,16,7,15), X(8,6,9,5), X(10,25,11,26), X(14,9,15,10), X(16,8,17,7), X(17,5,18,4), X(19,13,20,12), X(21,1,22,26), X(22,13,23,14), X(23,19,24,18), X(24,3,25,4)]",26
73,0_1,"[X(1,19,22,20), X(3,17,4,16), X(4,2,5,1), X(5,18,6,19), X(6,16,7,15), X(8,13,9,14), X(9,20,10,21), X(11,15,12,14), X(12,7,13,8), X(17,3,18,2), X(21,10,22,11)]",22
74,0_1,"[X(2,9,3,10), X(3,1,4,14), X(5,13,6,12), X(8,1,9,2), X(10,7,11,8), X(11,5,12,4), X(13,7,14,6)]",14
75,0_1,"[X(2,10,3,9), X(4,7,5,8), X(5,14,6,1), X(10,4,11,3), X(11,8,12,9), X(12,1,13,2), X(13,6,14,7)]",14
76,0_1,"[X(1,13,2,12), X(1,23,46,24), X(4,12,5,11), X(5,2,6,3), X(6,9,7,10), X(8,31,9,32), X(10,4,11,3), X(17,36,18,37), X(19,39,20,38), X(21,16,22,17), X(22,40,23,39), X(24,46,25,45), X(26,16,27,15), X(28,43,29,44), X(30,7,31,8), X(32,29,33,30), X(33,21,34,20), X(34,37,35,38), X(35,18,36,19), X(40,26,41,25), X(41,15,42,14), X(42,27,43,28), X(44,13,45,14)]",46
77,0_1,"[X(2,14,3,13), X(3,18,4,1), X(4,11,5,12), X(9,16,10,17), X(10,8,11,7), X(12,2,13,1), X(14,5,15,6), X(15,8,16,9), X(17,7,18,6)]",18
78,0_1,"[X(2,9,3,10), X(4,15,5,16), X(6,18,7,17), X(8,3,9,4), X(11,1,12,24), X(13,10,14,11), X(18,8,19,7), X(19,16,20,17), X(20,5,21,6), X(21,15,22,14), X(22,2,23,1), X(23,13,24,12)]",24
79,0_1,"[X(1,11,2,10), X(2,13,3,14), X(4,11,5,12), X(7,16,8,1), X(8,6,9,5), X(9,15,10,14), X(12,3,13,4), X(15,6,16,7)]",16
80,0_1,"[X(1,4,18,3), X(1,11,2,10), X(7,17,8,16), X(8,5,9,6), X(9,14,10,15), X(11,3,12,2), X(13,4,14,5), X(15,7,16,6), X(17,12,18,13)]",18
81,0_1,"[X(2,13,3,14), X(3,24,4,25), X(4,16,5,15), X(5,18,6,19), X(6,9,7,10), X(7,17,8,16), X(10,28,11,27), X(12,1,13,2), X(14,25,15,26), X(17,9,18,8), X(19,27,20,26), X(20,11,21,12), X(21,30,22,1), X(23,28,24,29), X(29,22,30,23)]",30
82,0_1,"[X(1,14,2,15), X(2,21,3,22), X(3,17,4,16), X(4,9,5,10), X(8,18,9,17), X(10,5,11,6), X(12,8,13,7), X(13,21,14,20), X(15,22,16,1), X(18,12,19,11), X(19,7,20,6)]",22
83,0_1,"[X(1,8,16,7), X(3,12,4,13), X(5,15,6,14), X(6,1,7,2), X(8,15,9,16), X(9,5,10,4), X(10,14,11,13), X(11,2,12,3)]",16
84,0_1,"[X(1,5,26,6), X(1,18,2,19), X(2,7,3,8), X(3,11,4,10), X(4,22,5,21), X(6,17,7,18), X(8,20,9,19), X(13,24,14,25), X(14,12,15,11), X(15,23,16,22), X(16,25,17,26), X(20,10,21,9), X(23,12,24,13)]",26
85,0_1,"[X(1,7,14,8), X(1,13,2,12), X(2,6,3,5), X(3,10,4,11), X(8,14,9,13), X(9,7,10,6), X(11,4,12,5)]",14
86,0_1,"[X(1,8,2,9), X(1,18,24,17), X(5,15,6,14), X(6,3,7,4), X(7,16,8,17), X(9,19,10,18), X(11,20,12,21), X(12,23,13,24), X(13,5,14,4), X(15,2,16,3), X(19,23,20,22), X(21,10,22,11)]",24
87,0_1,"[X(1,14,2,15), X(3,19,4,18), X(5,9,6,8), X(7,22,8,23), X(10,19,11,20), X(11,25,12,24), X(12,17,13,18), X(13,2,14,3), X(15,26,16,1), X(20,9,21,10), X(21,5,22,4), X(23,6,24,7), X(25,16,26,17)]",26
88,0_1,"[X(1,8,20,7), X(3,17,4,16), X(8,15,9,16), X(9,2,10,3), X(11,5,12,4), X(13,6,14,7), X(14,2,15,1), X(17,10,18,11), X(18,6,19,5), X(19,13,20,12)]",20
89,0_1,"[X(1,7,18,8), X(2,15,3,16), X(3,8,4,9), X(4,18,5,17), X(6,12,7,11), X(12,6,13,5), X(13,11,14,10), X(14,1,15,2), X(16,9,17,10)]",18
90,0_1,"[X(1,11,2,10), X(4,13,5,14), X(6,3,7,4), X(8,18,9,17), X(11,1,12,18), X(12,10,13,9), X(14,5,15,6), X(15,2,16,3), X(16,8,17,7)]",18
91,0_1,"[X(1,3,24,4), X(1,14,2,15), X(5,11,6,10), X(7,19,8,18), X(9,16,10,17), X(11,23,12,22), X(13,5,14,4), X(15,2,16,3), X(19,9,20,8), X(20,17,21,18), X(21,6,22,7), X(23,13,24,12)]",24
92,0_1,"[X(1,9,2,8), X(2,13,3,14), X(4,15,5,16), X(5,13,6,12), X(9,1,10,18), X(10,8,11,7), X(14,3,15,4), X(16,12,17,11), X(17,6,18,7)]",18
93,0_1,"[X(1,19,2,18), X(2,31,3,32), X(3,22,4,23), X(7,29,8,28), X(10,26,11,25), X(11,7,12,6), X(12,19,13,20), X(15,34,16,35), X(17,1,18,38), X(20,23,21,24), X(21,4,22,5), X(24,5,25,6), X(26,10,27,9), X(27,31,28,30), X(29,9,30,8), X(33,14,34,15), X(35,32,36,33), X(36,13,37,14), X(37,17,38,16)]",38
94,0_1,"[X(3,41,4,40), X(4,11,5,12), X(7,15,8,14), X(15,44,16,45), X(17,47,18,46), X(20,10,21,9), X(23,29,24,28), X(26,31,27,32), X(27,1,28,56), X(32,25,33,26), X(33,30,34,31), X(35,23,36,22), X(36,1,37,2), X(37,10,38,11), X(38,6,39,5), X(39,13,40,12), X(41,3,42,2), X(42,13,43,14), X(43,6,44,7), X(47,19,48,18), X(48,45,49,46), X(49,16,50,17), X(50,20,51,19), X(51,9,52,8), X(52,21,53,22), X(53,34,54,35), X(54,30,55,29), X(55,25,56,24)]",56
95,0_1,"[X(1,11,2,10), X(3,6,4,7), X(5,14,6,15), X(8,11,9,12), X(9,1,10,16), X(12,7,13,8), X(13,4,14,5), X(15,3,16,2)]",16
96,0_1,"[X(1,16,2,17), X(3,23,4,22), X(5,11,6,10), X(6,19,7,20), X(8,27,9,28), X(9,21,10,20), X(12,23,13,24), X(13,1,14,30), X(14,17,15,18), X(15,2,16,3), X(18,29,19,30), X(24,11,25,12), X(25,5,26,4), X(26,21,27,22), X(28,7,29,8)]",30
97,0_1,"[X(1,12,2,13), X(3,14,4,15), X(5,17,6,16), X(9,25,10,24), X(11,30,12,1), X(13,10,14,11), X(17,26,18,27), X(18,8,19,7), X(19,29,20,28), X(20,15,21,16), X(21,4,22,5), X(22,25,23,26), X(23,9,24,8), X(27,7,28,6), X(29,2,30,3)]",30
98,0_1,"[X(2,5,3,6), X(3,33,4,32), X(8,37,9,38), X(9,22,10,23), X(10,20,11,19), X(12,29,13,30), X(15,30,16,31), X(16,13,17,14), X(17,29,18,28), X(18,12,19,11), X(21,27,22,26), X(23,1,24,38), X(25,6,26,7), X(27,21,28,20), X(31,14,32,15), X(33,5,34,4), X(34,2,35,1), X(35,25,36,24), X(36,7,37,8)]",38
99,0_1,"[X(1,14,2,15), X(3,11,4,10), X(4,22,5,21), X(7,18,8,19), X(9,20,10,21), X(11,1,12,22), X(12,15,13,16), X(13,2,14,3), X(16,6,17,5), X(17,8,18,9), X(19,6,20,7)]",22
100,0_1,"[X(1,8,2,9), X(1,11,20,12), X(3,7,4,6), X(4,13,5,14), X(10,20,11,19), X(14,5,15,6), X(15,13,16,12), X(16,7,17,8), X(17,3,18,2), X(18,10,19,9)]",20
101,0_1,"[X(1,8,2,9), X(3,12,4,13), X(4,8,5,7), X(5,15,6,14), X(9,16,10,1), X(11,2,12,3), X(13,7,14,6), X(15,10,16,11)]",16
102,0_1,"[X(1,17,2,16), X(4,9,5,10), X(7,20,8,21), X(10,5,11,6), X(11,9,12,8), X(12,4,13,3), X(14,17,15,18), X(15,1,16,22), X(18,13,19,14), X(19,6,20,7), X(21,3,22,2)]",22
103,0_1,"[X(1,9,16,10), X(1,14,2,15), X(4,11,5,12), X(5,2,6,3), X(6,14,7,13), X(8,16,9,15), X(10,8,11,7), X(12,3,13,4)]",16
104,0_1,"[X(1,19,2,18), X(3,16,4,17), X(5,21,6,20), X(6,23,7,24), X(7,10,8,11), X(9,22,10,23), X(11,5,12,4), X(13,1,14,26), X(14,18,15,17), X(15,2,16,3), X(21,8,22,9), X(24,19,25,20), X(25,13,26,12)]",26
105,0_1,"[X(1,37,2,36), X(3,20,4,21), X(4,35,5,36), X(5,9,6,8), X(7,1,8,38), X(9,31,10,30), X(10,25,11,26), X(15,28,16,29), X(16,14,17,13), X(18,34,19,33), X(19,23,20,22), X(21,2,22,3), X(23,34,24,35), X(24,32,25,31), X(26,11,27,12), X(27,14,28,15), X(29,13,30,12), X(32,18,33,17), X(37,7,38,6)]",38
106,0_1,"[X(1,24,2,25), X(6,20,7,19), X(8,13,9,14), X(9,30,10,31), X(10,16,11,15), X(12,17,13,18), X(14,31,15,32), X(16,30,17,29), X(18,8,19,7), X(20,6,21,5), X(21,26,22,27), X(22,34,23,33), X(23,2,24,3), X(25,34,26,1), X(27,4,28,5), X(28,11,29,12), X(32,4,33,3)]",34
107,0_1,"[X(1,6,2,7), X(2,10,3,9), X(3,15,4,14), X(4,11,5,12), X(5,16,6,1), X(8,13,9,14), X(10,16,11,15), X(12,7,13,8)]",16
108,0_1,"[X(2,20,3,19), X(3,12,4,13), X(5,1,6,26), X(7,25,8,24), X(8,15,9,16), X(9,22,10,23), X(10,18,11,17), X(11,4,12,5), X(18,14,19,13), X(20,2,21,1), X(21,14,22,15), X(23,17,24,16), X(25,7,26,6)]",26
109,0_1,"[X(1,16,2,17), X(6,14,7,13), X(7,4,8,5), X(8,11,9,12), X(9,21,10,20), X(12,6,13,5), X(15,24,16,25), X(17,26,18,1), X(19,2,20,3), X(21,11,22,10), X(22,4,23,3), X(23,14,24,15), X(25,18,26,19)]",26
110,0_1,"[X(1,9,18,10), X(1,13,2,12), X(2,15,3,16), X(3,6,4,7), X(4,14,5,13), X(8,11,9,12), X(10,18,11,17), X(14,6,15,5), X(16,7,17,8)]",18
